customer_id,gender,senior_citizen,partner,dependent,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movie,contract,paperless_bill,payment_method,monthly_charge,total_charge,churn
3655-SNQYZ,female,0,yes,yes,69,yes,yes,fiber-optic,yes,yes,yes,yes,yes,yes,2-year,no,credit-card,113.25,7895.15,no
8191-XWSZG,female,0,no,no,52,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,no,mail-check,20.65,1022.95,no
9959-WOFKT,male,0,no,yes,71,yes,yes,fiber-optic,yes,no,yes,no,yes,yes,2-year,no,bank-transfer,106.7,7382.25,no
4190-MFLUW,female,0,yes,yes,10,yes,no,DSL,no,no,yes,yes,no,no,month-to-month,no,credit-card,55.2,528.35,yes
4183-MYFRB,female,0,no,no,21,yes,no,fiber-optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic-check,90.05,1862.9,no
8779-QRDMV,male,1,no,no,1,no,no-phone-service,DSL,no,no,yes,no,no,yes,month-to-month,yes,electronic-check,39.65,39.65,yes
1680-VDCWW,male,0,yes,no,12,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,no,bank-transfer,19.8,202.25,no
1066-JKSGK,male,0,no,no,1,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,mail-check,20.15,20.15,yes
3638-WEABW,female,0,yes,no,58,yes,yes,DSL,no,yes,no,yes,no,no,2-year,yes,credit-card,59.9,3505.1,no
6322-HRPFA,male,0,yes,yes,49,yes,no,DSL,yes,yes,no,yes,no,no,month-to-month,no,credit-card,59.6,2970.3,no
6865-JZNKO,female,0,no,no,30,yes,no,DSL,yes,yes,no,no,no,no,month-to-month,yes,bank-transfer,55.3,1530.6,no
6467-CHFZW,male,0,yes,yes,47,yes,yes,fiber-optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic-check,99.35,4749.15,yes
8665-UTDHZ,male,0,yes,yes,1,no,no-phone-service,DSL,no,yes,no,no,no,no,month-to-month,no,electronic-check,30.2,30.2,yes
5248-YGIJN,male,0,yes,no,72,yes,yes,DSL,yes,yes,yes,yes,yes,yes,2-year,yes,credit-card,90.25,6369.45,no
8773-HHUOZ,female,0,no,yes,17,yes,no,DSL,no,no,no,no,yes,yes,month-to-month,yes,mail-check,64.7,1093.1,yes
3841-NFECX,female,1,yes,no,71,yes,yes,fiber-optic,yes,yes,yes,yes,no,no,2-year,yes,credit-card,96.35,6766.95,no
4929-XIHVW,male,1,yes,no,2,yes,no,fiber-optic,no,no,yes,no,yes,yes,month-to-month,yes,credit-card,95.5,181.65,no
6827-IEAUQ,female,0,yes,yes,27,yes,no,DSL,yes,yes,yes,yes,no,no,1-year,no,mail-check,66.15,1874.45,no
7310-EGVHZ,male,0,no,no,1,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,bank-transfer,20.2,20.2,no
3413-BMNZE,male,1,no,no,1,yes,no,DSL,no,no,no,no,no,no,month-to-month,no,bank-transfer,45.25,45.25,no
6234-RAAPL,female,0,yes,yes,72,yes,yes,fiber-optic,yes,yes,no,yes,yes,no,2-year,no,bank-transfer,99.9,7251.7,no
6047-YHPVI,male,0,no,no,5,yes,no,fiber-optic,no,no,no,no,no,no,month-to-month,yes,electronic-check,69.7,316.9,yes
6572-ADKRS,female,0,no,no,46,yes,no,fiber-optic,no,no,yes,no,no,no,month-to-month,yes,credit-card,74.8,3548.3,no
5380-WJKOV,male,0,no,no,34,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic-check,106.35,3549.25,yes
8168-UQWWF,female,0,no,no,11,yes,yes,fiber-optic,no,no,yes,no,yes,yes,month-to-month,yes,bank-transfer,97.85,1105.4,yes
8865-TNMNX,male,0,yes,yes,10,yes,no,DSL,no,yes,no,no,no,no,1-year,no,mail-check,49.55,475.7,no
9489-DEDVP,female,0,yes,yes,70,yes,yes,DSL,yes,yes,no,no,yes,no,2-year,yes,credit-card,69.2,4872.35,no
9867-JCZSP,female,0,yes,yes,17,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,no,mail-check,20.75,418.25,no
4671-VJLCL,female,0,no,no,63,yes,yes,DSL,yes,yes,yes,yes,yes,no,2-year,yes,credit-card,79.85,4861.45,no
4080-IIARD,female,0,yes,no,13,yes,yes,DSL,yes,yes,no,yes,yes,no,month-to-month,yes,electronic-check,76.2,981.45,no
3714-NTNFO,female,0,no,no,49,yes,yes,fiber-optic,no,no,no,no,no,yes,month-to-month,yes,electronic-check,84.5,3906.7,no
5948-UJZLF,male,0,no,no,2,yes,no,DSL,no,yes,no,no,no,no,month-to-month,no,mail-check,49.25,97.0,no
7760-OYPDY,female,0,no,no,2,yes,no,fiber-optic,no,no,no,no,yes,no,month-to-month,yes,electronic-check,80.65,144.15,yes
7639-LIAYI,male,0,no,no,52,yes,yes,DSL,yes,no,no,yes,yes,yes,2-year,yes,credit-card,79.75,4217.8,no
2954-PIBKO,female,0,yes,yes,69,yes,yes,DSL,yes,no,yes,yes,no,no,2-year,yes,credit-card,64.15,4254.1,no
8012-SOUDQ,female,1,no,no,43,yes,yes,fiber-optic,no,yes,no,no,yes,no,month-to-month,yes,electronic-check,90.25,3838.75,no
9420-LOJKX,female,0,no,no,15,yes,no,fiber-optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit-card,99.1,1426.4,yes
6575-SUVOI,female,1,yes,no,25,yes,yes,DSL,yes,no,no,yes,yes,no,month-to-month,yes,credit-card,69.5,1752.65,no
7495-OOKFY,female,1,yes,no,8,yes,yes,fiber-optic,no,yes,no,no,no,no,month-to-month,yes,credit-card,80.65,633.3,yes
4667-QONEA,female,1,yes,yes,60,yes,no,DSL,yes,yes,yes,yes,no,yes,1-year,yes,credit-card,74.85,4456.35,no
1658-BYGOY,male,1,no,no,18,yes,yes,fiber-optic,no,no,no,no,yes,yes,month-to-month,yes,electronic-check,95.45,1752.55,yes
8769-KKTPH,female,0,yes,yes,63,yes,yes,fiber-optic,yes,no,no,no,yes,yes,1-year,yes,credit-card,99.65,6311.2,no
5067-XJQFU,male,1,yes,yes,66,yes,yes,fiber-optic,no,yes,yes,yes,yes,yes,1-year,yes,electronic-check,108.45,7076.35,no
3957-SQXML,female,0,yes,yes,34,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,credit-card,24.95,894.3,no
5954-BDFSG,female,0,no,no,72,yes,yes,fiber-optic,no,no,yes,yes,yes,yes,2-year,yes,credit-card,107.5,7853.7,no
0434-CSFON,female,0,yes,no,47,yes,yes,fiber-optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic-check,100.5,4707.1,no
1215-FIGMP,male,0,no,no,60,yes,yes,fiber-optic,no,yes,no,no,yes,no,month-to-month,yes,bank-transfer,89.9,5450.7,no
0526-SXDJP,male,0,yes,no,72,no,no-phone-service,DSL,yes,yes,yes,no,no,no,2-year,no,bank-transfer,42.1,2962.0,no
0557-ASKVU,female,0,yes,yes,18,yes,no,DSL,no,no,yes,yes,no,no,1-year,yes,credit-card,54.4,957.1,no
5698-BQJOH,female,0,no,no,9,yes,yes,fiber-optic,no,no,no,no,yes,yes,month-to-month,no,electronic-check,94.4,857.25,yes
5122-CYFXA,female,0,no,no,3,yes,no,DSL,no,yes,no,yes,yes,yes,month-to-month,yes,electronic-check,75.3,244.1,no
8627-ZYGSZ,male,0,yes,no,47,yes,yes,fiber-optic,no,yes,no,no,no,no,1-year,yes,electronic-check,78.9,3650.35,no
3410-YOQBQ,female,0,no,no,31,yes,no,DSL,no,yes,yes,yes,yes,yes,2-year,no,mail-check,79.2,2497.2,no
3170-NMYVV,female,0,yes,yes,50,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,bank-transfer,20.15,930.9,no
7410-OIEDU,male,0,no,no,10,yes,no,fiber-optic,yes,no,yes,no,no,no,month-to-month,yes,mail-check,79.85,887.35,no
2273-QCKXA,male,0,no,no,1,yes,no,DSL,no,no,no,yes,no,no,month-to-month,no,mail-check,49.05,49.05,no
0731-EBJQB,female,0,yes,yes,52,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,yes,electronic-check,20.4,1090.65,no
1891-QRQSA,male,1,yes,yes,64,yes,yes,fiber-optic,yes,no,yes,yes,yes,yes,2-year,yes,bank-transfer,111.6,7099.0,no
8028-PNXHQ,male,0,yes,yes,62,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,yes,bank-transfer,24.25,1424.6,no
5630-AHZIL,female,0,no,yes,3,yes,no,DSL,yes,no,no,yes,no,yes,month-to-month,yes,bank-transfer,64.5,177.4,no
2673-CXQEU,female,1,no,no,56,yes,yes,fiber-optic,yes,yes,yes,no,yes,yes,1-year,no,electronic-check,110.5,6139.5,no
6416-JNVRK,female,0,no,no,46,yes,no,DSL,no,no,no,no,no,yes,1-year,no,credit-card,55.65,2688.85,no
5590-ZSKRV,female,0,yes,yes,8,yes,no,DSL,yes,yes,no,no,no,no,month-to-month,no,mail-check,54.65,482.25,no
0191-ZHSKZ,male,1,no,no,30,yes,no,DSL,yes,yes,no,no,yes,yes,month-to-month,yes,electronic-check,74.75,2111.3,no
3887-PBQAO,female,0,yes,yes,45,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,yes,credit-card,25.9,1216.6,no
5919-TMRGD,female,0,no,yes,1,yes,no,fiber-optic,no,no,no,no,yes,no,month-to-month,yes,electronic-check,79.35,79.35,yes
8108-UXRQN,female,0,yes,yes,11,no,no-phone-service,DSL,yes,no,no,no,yes,yes,month-to-month,no,electronic-check,50.55,565.35,no
9191-MYQKX,female,0,yes,no,7,yes,no,fiber-optic,no,no,yes,no,no,no,month-to-month,yes,bank-transfer,75.15,496.9,yes
9919-YLNNG,female,0,no,no,42,yes,no,fiber-optic,no,yes,yes,yes,yes,yes,month-to-month,yes,bank-transfer,103.8,4327.5,no
0318-ZOPWS,female,0,yes,no,49,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,yes,bank-transfer,20.15,973.35,no
4445-ZJNMU,male,0,no,no,9,yes,yes,fiber-optic,no,yes,no,no,yes,yes,month-to-month,yes,credit-card,99.3,918.75,no
4808-YNLEU,female,0,yes,no,35,yes,no,DSL,yes,no,no,no,yes,no,1-year,yes,bank-transfer,62.15,2215.45,no
1862-QRWPE,female,0,yes,yes,48,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,bank-transfer,20.65,1057.0,no
2796-NNUFI,female,0,yes,yes,46,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,yes,mail-check,19.95,927.1,no
3016-KSVCP,male,0,yes,no,29,no,no-phone-service,DSL,no,no,no,no,yes,no,month-to-month,no,mail-check,33.75,1009.25,no
4767-HZZHQ,male,0,yes,yes,30,yes,no,fiber-optic,no,yes,yes,no,no,no,month-to-month,no,bank-transfer,82.05,2570.2,no
2424-WVHPL,male,1,no,no,1,yes,no,fiber-optic,no,no,no,yes,no,no,month-to-month,no,electronic-check,74.7,74.7,no
7233-PAHHL,male,0,yes,yes,66,yes,yes,DSL,yes,no,yes,yes,yes,yes,2-year,yes,mail-check,84.0,5714.25,no
6067-NGCEU,female,0,no,no,65,yes,yes,fiber-optic,yes,yes,yes,no,yes,yes,month-to-month,yes,credit-card,111.05,7107.0,no
9848-JQJTX,male,0,no,no,72,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,2-year,yes,bank-transfer,100.9,7459.05,no
8637-XJIVR,female,0,no,no,12,yes,yes,fiber-optic,yes,no,no,no,no,no,month-to-month,yes,electronic-check,78.95,927.35,yes
9803-FTJCG,male,0,yes,yes,71,yes,yes,DSL,yes,yes,no,yes,no,no,1-year,yes,credit-card,66.85,4748.7,no
0278-YXOOG,male,0,no,no,5,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,mail-check,21.05,113.85,yes
3212-KXOCR,male,0,no,no,52,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,bank-transfer,21.0,1107.2,no
4598-XLKNJ,female,1,yes,no,25,yes,no,fiber-optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic-check,98.5,2514.5,yes
6380-ARCEH,male,0,no,no,1,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,mail-check,20.2,20.2,no
3679-XASPY,female,0,yes,yes,1,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,electronic-check,19.45,19.45,no
7123-WQUHX,male,0,no,no,38,yes,yes,fiber-optic,no,no,yes,yes,yes,no,1-year,no,bank-transfer,95.0,3605.6,no
5386-THSLQ,female,1,yes,no,66,no,no-phone-service,DSL,no,yes,yes,no,yes,no,1-year,no,bank-transfer,45.55,3027.25,no
3192-NQECA,male,0,yes,no,68,yes,yes,fiber-optic,no,yes,yes,yes,yes,yes,2-year,yes,bank-transfer,110.0,7611.85,yes
6180-YBIQI,male,0,no,no,5,no,no-phone-service,DSL,no,no,no,no,no,no,month-to-month,no,mail-check,24.3,100.2,no
6728-DKUCO,female,0,yes,yes,72,yes,yes,fiber-optic,yes,yes,no,no,yes,yes,1-year,yes,electronic-check,104.15,7303.05,no
9750-BOOHV,female,0,no,no,32,no,no-phone-service,DSL,yes,no,no,no,no,no,1-year,no,mail-check,30.15,927.65,no
8597-CWYHH,male,0,no,no,43,yes,yes,fiber-optic,no,no,no,no,yes,yes,1-year,no,mail-check,94.35,3921.3,no
2848-YXSMW,male,0,yes,yes,72,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,credit-card,19.4,1363.25,no
0486-HECZI,male,0,yes,no,55,yes,yes,fiber-optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic-check,96.75,5238.9,yes
4549-ZDQYY,female,0,no,no,52,yes,no,DSL,yes,no,yes,yes,no,no,1-year,no,credit-card,57.95,3042.25,no
5712-AHQNN,female,0,no,no,43,yes,no,fiber-optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic-check,91.65,3954.1,no
4846-WHAFZ,female,1,yes,no,37,yes,yes,fiber-optic,no,no,no,no,no,no,month-to-month,yes,electronic-check,76.5,2868.15,yes
5256-SKJGO,female,0,yes,yes,64,no,no-phone-service,DSL,no,yes,no,yes,yes,yes,2-year,yes,electronic-check,54.6,3423.5,no
3071-VBYPO,male,0,yes,yes,3,yes,no,fiber-optic,yes,yes,no,no,yes,no,month-to-month,no,electronic-check,89.85,248.4,no
9560-BBZXK,female,0,no,no,36,no,no-phone-service,DSL,yes,no,no,no,no,no,2-year,no,bank-transfer,31.05,1126.35,no
5299-RULOA,female,0,yes,yes,10,yes,yes,fiber-optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic-check,100.25,1064.65,yes
8402-OOOHJ,female,0,no,no,41,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,mail-check,20.65,835.15,no
9445-ZUEQE,male,0,yes,yes,27,yes,yes,fiber-optic,no,yes,no,yes,no,no,month-to-month,yes,credit-card,85.2,2151.6,no
1091-SOZGA,female,0,yes,yes,56,yes,yes,fiber-optic,no,no,yes,no,yes,yes,1-year,yes,credit-card,99.8,5515.45,no
2928-HLDBA,female,0,no,no,6,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,mail-check,20.7,112.75,no
0404-SWRVG,male,0,no,no,3,yes,yes,fiber-optic,no,no,no,no,no,no,month-to-month,yes,electronic-check,74.4,229.55,yes
6497-TILVL,female,0,yes,yes,7,yes,no,DSL,yes,no,no,no,no,no,month-to-month,no,mail-check,50.7,350.35,no
7219-TLZHO,female,0,yes,yes,4,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,mail-check,20.85,62.9,no
4622-YNKIJ,male,0,no,no,33,yes,no,fiber-optic,yes,no,no,yes,yes,no,2-year,yes,electronic-check,88.95,3027.65,no
4412-YLTKF,female,1,no,no,27,yes,yes,fiber-optic,no,no,yes,no,no,no,month-to-month,yes,electronic-check,78.05,2135.5,yes
6734-PSBAW,male,0,yes,no,72,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,yes,bank-transfer,23.55,1723.95,no
3930-ZGWVE,male,0,no,no,1,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,mail-check,19.75,19.75,no
2639-UGMAZ,male,1,no,no,71,no,no-phone-service,DSL,yes,yes,no,no,yes,yes,1-year,yes,electronic-check,56.45,3985.35,no
2876-GZYZC,female,0,no,no,13,yes,yes,fiber-optic,no,no,no,no,no,yes,month-to-month,yes,electronic-check,85.95,1215.65,no
6207-WIOLX,female,0,yes,yes,25,no,no-phone-service,DSL,yes,yes,yes,no,yes,yes,month-to-month,yes,credit-card,58.6,1502.65,yes
8587-XYZSF,male,0,no,no,67,yes,no,DSL,no,no,no,yes,no,no,2-year,no,bank-transfer,50.55,3260.1,no
3091-FYHKI,male,0,no,no,1,no,no-phone-service,DSL,no,no,no,no,no,yes,month-to-month,yes,electronic-check,35.45,35.45,yes
2372-HWUHI,male,0,no,no,2,yes,no,DSL,no,no,no,no,no,no,month-to-month,no,electronic-check,44.35,81.25,yes
7799-LGRDP,female,0,no,no,43,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,yes,credit-card,25.7,1188.2,no
7850-VWJUU,female,0,no,no,23,yes,no,fiber-optic,yes,no,no,no,no,no,month-to-month,yes,bank-transfer,75.0,1778.5,no
3774-VBNXY,female,0,yes,yes,64,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,mail-check,20.2,1277.75,no
6217-KDYWC,male,0,no,yes,57,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,yes,mail-check,19.6,1170.55,no
0390-DCFDQ,female,1,yes,no,1,yes,no,fiber-optic,no,no,no,no,no,no,month-to-month,yes,mail-check,70.45,70.45,yes
3146-MSEGF,female,1,yes,yes,72,yes,yes,DSL,yes,yes,yes,yes,yes,yes,2-year,yes,credit-card,88.05,6425.65,no
4080-OGPJL,female,0,no,no,8,yes,yes,DSL,yes,no,no,yes,no,yes,month-to-month,no,electronic-check,71.15,563.65,yes
1095-WGNGG,female,0,yes,no,61,yes,yes,fiber-optic,no,yes,no,no,yes,yes,2-year,yes,bank-transfer,101.05,5971.25,no
2636-SJDOU,male,0,no,no,64,yes,yes,fiber-optic,yes,yes,no,no,no,no,1-year,yes,credit-card,84.3,5289.05,no
1131-QQZEB,male,1,yes,no,71,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,bank-transfer,23.95,1756.2,no
5716-EZXZN,female,0,yes,yes,65,yes,yes,fiber-optic,yes,yes,no,yes,yes,no,2-year,yes,credit-card,99.05,6416.7,no
6837-BJYDQ,male,0,no,no,3,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,no,mail-check,19.6,61.35,no
2135-RXIHG,male,0,no,no,1,yes,no,DSL,no,no,no,no,no,no,month-to-month,yes,electronic-check,45.65,45.65,yes
6440-DKQGE,male,0,no,yes,30,yes,no,DSL,no,yes,yes,no,yes,no,1-year,no,credit-card,64.5,1929.95,no
3466-BYAVD,male,0,yes,yes,15,yes,no,DSL,no,yes,yes,yes,no,yes,month-to-month,yes,mail-check,69.5,1071.4,no
3780-YVMFA,female,0,yes,yes,8,yes,no,DSL,no,no,no,yes,yes,yes,month-to-month,yes,electronic-check,68.55,564.35,no
3874-EQOEP,male,0,no,no,7,yes,yes,fiber-optic,no,no,no,no,yes,yes,month-to-month,no,mail-check,95.0,655.5,yes
1679-JRFBR,female,0,yes,yes,70,yes,yes,fiber-optic,yes,yes,yes,no,yes,yes,1-year,yes,credit-card,108.15,7930.55,no
9073-ZZIAY,male,0,yes,yes,62,yes,no,DSL,yes,yes,yes,yes,yes,yes,2-year,no,electronic-check,86.1,5215.25,no
3077-RSNTJ,female,0,yes,yes,6,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,mail-check,19.7,113.5,no
6551-GNYDG,female,0,yes,yes,14,yes,no,fiber-optic,no,no,no,no,no,yes,month-to-month,yes,bank-transfer,80.9,1152.8,no
9167-APMXZ,female,0,no,no,22,yes,yes,fiber-optic,no,no,no,no,yes,no,month-to-month,yes,bank-transfer,84.15,1821.95,no
2749-CTKAJ,male,0,yes,yes,22,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,no,mail-check,20.15,419.9,no
6371-NZYEG,male,0,yes,yes,16,yes,no,DSL,yes,no,yes,no,yes,no,2-year,no,mail-check,64.25,1024.0,no
7554-NEWDD,male,0,no,no,10,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,bank-transfer,25.7,251.6,no
8992-VONJD,female,0,no,yes,13,yes,no,DSL,yes,yes,no,no,no,no,month-to-month,yes,electronic-check,56.0,764.55,no
0867-MKZVY,female,0,yes,no,20,yes,yes,fiber-optic,yes,no,no,no,no,no,month-to-month,no,electronic-check,82.4,1592.35,yes
4482-EWFMI,female,0,no,no,2,yes,no,fiber-optic,no,no,no,no,no,no,month-to-month,yes,electronic-check,69.7,135.2,no
4648-YPBTM,male,0,no,no,53,yes,yes,DSL,no,yes,yes,yes,no,yes,2-year,yes,bank-transfer,73.9,3958.25,no
2907-ILJBN,female,0,yes,yes,11,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,no,mail-check,20.6,233.9,no
6345-FZOQH,male,0,yes,no,69,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,mail-check,19.9,1363.45,no
3376-BMGFE,female,0,no,no,4,yes,no,fiber-optic,no,no,no,no,no,no,month-to-month,yes,bank-transfer,70.9,273.0,yes
5997-OPVFA,male,0,yes,no,72,yes,yes,DSL,yes,yes,yes,yes,yes,yes,2-year,yes,bank-transfer,89.05,6254.45,no
3445-HXXGF,male,1,yes,no,58,no,no-phone-service,DSL,no,yes,yes,no,no,yes,month-to-month,yes,electronic-check,45.3,2651.2,yes
1159-WFSGR,female,0,yes,yes,16,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,electronic-check,20.4,321.4,no
7654-YWJUF,male,0,yes,no,43,yes,no,fiber-optic,yes,no,yes,yes,no,no,1-year,yes,bank-transfer,84.25,3539.25,no
1875-QIVME,female,0,yes,no,2,yes,yes,fiber-optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic-check,104.4,242.8,yes
6727-IOTLZ,male,0,yes,no,14,yes,no,DSL,no,yes,yes,yes,yes,yes,2-year,no,mail-check,81.95,1181.75,no
0691-JVSYA,female,0,yes,no,53,yes,no,fiber-optic,no,no,yes,no,yes,yes,1-year,yes,bank-transfer,94.85,5000.2,yes
5918-VUKWP,female,0,no,no,32,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,no,bank-transfer,20.55,654.55,no
1744-JHKYS,female,0,yes,no,34,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,electronic-check,24.7,780.2,no
2656-FMOKZ,female,1,no,no,15,yes,yes,fiber-optic,no,no,no,no,no,no,month-to-month,yes,mail-check,74.45,1145.7,yes
2070-FNEXE,female,1,no,no,7,yes,no,fiber-optic,yes,no,no,no,no,no,month-to-month,no,bank-transfer,76.45,503.6,yes
5947-SGKCL,female,0,yes,yes,15,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank-transfer,105.35,1559.25,no
3712-PKXZA,male,0,yes,no,61,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,1-year,yes,credit-card,20.55,1252.0,no
6317-YPKDH,female,0,no,no,1,no,no-phone-service,DSL,no,yes,no,no,no,no,month-to-month,no,bank-transfer,29.95,29.95,yes
6582-OIVSP,female,0,no,no,1,yes,no,DSL,no,no,no,no,no,no,month-to-month,no,mail-check,45.3,45.3,no
9367-WXLCH,male,0,no,no,8,yes,yes,fiber-optic,no,no,no,no,no,yes,month-to-month,no,bank-transfer,84.5,662.65,yes
